cpu,cpu_id,duration,flags,func,pid,process,state,timestamp,timestampns,latency,entry_latency,entry_cstate,exit_latency,exit_cstate
0,0,289265000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.625242,1.5962709796252419e+18,126.0,,,,
0,0,289391000,d...,cpu_idle,0,idle,1,2020-08-01 08:36:19.625368,1.596270979625368e+18,4.0,4.0,1.0,,
0,0,289395000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.625372,1.596270979625372e+18,29.0,,,29.0,1.0
0,0,289424000,d...,cpu_idle,0,idle,1,2020-08-01 08:36:19.625401,1.5962709796254008e+18,2.0,2.0,1.0,,
0,0,289426000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.625403,1.596270979625403e+18,48.0,,,48.0,1.0
0,0,289474000,d...,cpu_idle,0,idle,1,2020-08-01 08:36:19.625451,1.596270979625451e+18,1.0,1.0,1.0,,
0,0,289475000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.625452,1.596270979625452e+18,29.0,,,29.0,1.0
0,0,289504000,d...,cpu_idle,0,idle,1,2020-08-01 08:36:19.625481,1.596270979625481e+18,5.0,5.0,1.0,,
0,0,289509000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.625486,1.596270979625486e+18,15.0,,,15.0,1.0
0,0,289524000,d...,cpu_idle,0,idle,1,2020-08-01 08:36:19.625501,1.596270979625501e+18,8.0,8.0,1.0,,
0,0,289532000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.625509,1.5962709796255089e+18,14.0,,,14.0,1.0
0,0,289546000,d...,cpu_idle,0,idle,1,2020-08-01 08:36:19.625523,1.596270979625523e+18,6.0,6.0,1.0,,
0,0,289552000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.625529,1.5962709796255288e+18,12.0,,,12.0,1.0
0,0,289564000,d...,cpu_idle,0,idle,1,2020-08-01 08:36:19.625541,1.5962709796255409e+18,162.0,162.0,1.0,,
