cpu,cpu_id,duration,flags,func,pid,process,state,timestamp,timestampns,latency,entry_latency,entry_cstate,exit_latency,exit_cstate
5,5,267576000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.603553,1.596270979603553e+18,3.0,,,,
5,5,267579000,d...,cpu_idle,0,idle,1,2020-08-01 08:36:19.603556,1.5962709796035558e+18,21959.0,21959.0,1.0,,
5,5,289538000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.625515,1.596270979625515e+18,111.0,,,111.0,1.0
5,5,289649000,d...,cpu_idle,0,idle,1,2020-08-01 08:36:19.625626,1.5962709796256259e+18,14.0,14.0,1.0,,
5,5,289663000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.625640,1.59627097962564e+18,10.0,,,10.0,1.0
5,5,289673000,d...,cpu_idle,0,idle,1,2020-08-01 08:36:19.625650,1.59627097962565e+18,9.0,9.0,1.0,,
5,5,289682000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.625659,1.596270979625659e+18,93.0,,,93.0,1.0
5,5,289775000,d...,cpu_idle,0,idle,1,2020-08-01 08:36:19.625752,1.596270979625752e+18,33801.0,33801.0,1.0,,
5,5,323576000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.659553,1.596270979659553e+18,50.0,,,50.0,1.0
5,5,323626000,d...,cpu_idle,0,idle,8,2020-08-01 08:36:19.659603,1.596270979659603e+18,140826.0,140826.0,8.0,,
5,5,464452000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.800429,1.596270979800429e+18,111.0,,,111.0,8.0
5,5,464563000,d...,cpu_idle,0,idle,8,2020-08-01 08:36:19.800540,1.59627097980054e+18,11903.0,11903.0,8.0,,
5,5,476466000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.812443,1.596270979812443e+18,126.0,,,126.0,8.0
5,5,476592000,d...,cpu_idle,0,idle,8,2020-08-01 08:36:19.812569,1.596270979812569e+18,181.0,181.0,8.0,,
5,5,476773000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.812750,1.59627097981275e+18,123.0,,,123.0,8.0
5,5,476896000,d...,cpu_idle,0,idle,6,2020-08-01 08:36:19.812873,1.596270979812873e+18,3118.0,3118.0,6.0,,
5,5,480014000,d...,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.815991,1.596270979815991e+18,48.0,,,48.0,6.0
5,5,480062000,d...,cpu_idle,0,idle,6,2020-08-01 08:36:19.816039,1.596270979816039e+18,3859.0,3859.0,6.0,,
5,5,483921000,d...,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.819898,1.5962709798198979e+18,1.0,,,1.0,6.0
5,5,483922000,d...,cpu_idle,0,idle,6,2020-08-01 08:36:19.819899,1.596270979819899e+18,32.0,32.0,6.0,,
5,5,483954000,d...,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.819931,1.596270979819931e+18,10.0,,,10.0,6.0
5,5,483964000,d...,cpu_idle,0,idle,6,2020-08-01 08:36:19.819941,1.5962709798199409e+18,4043.0,4043.0,6.0,,
5,5,488007000,d...,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.823984,1.5962709798239839e+18,8.0,,,8.0,6.0
5,5,488015000,d...,cpu_idle,0,idle,6,2020-08-01 08:36:19.823992,1.596270979823992e+18,4001.0,4001.0,6.0,,
5,5,492016000,d...,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.827993,1.596270979827993e+18,38.0,,,38.0,6.0
5,5,492054000,d...,cpu_idle,0,idle,6,2020-08-01 08:36:19.828031,1.596270979828031e+18,3942.0,3942.0,6.0,,
5,5,495996000,d...,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.831973,1.5962709798319729e+18,11.0,,,11.0,6.0
5,5,496007000,d...,cpu_idle,0,idle,6,2020-08-01 08:36:19.831984,1.5962709798319839e+18,3989.0,3989.0,6.0,,
5,5,499996000,d...,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.835973,1.5962709798359729e+18,13.0,,,13.0,6.0
5,5,500009000,d...,cpu_idle,0,idle,6,2020-08-01 08:36:19.835986,1.596270979835986e+18,3945.0,3945.0,6.0,,
5,5,503954000,d...,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.839931,1.596270979839931e+18,5.0,,,5.0,6.0
5,5,503959000,d...,cpu_idle,0,idle,6,2020-08-01 08:36:19.839936,1.596270979839936e+18,4321.0,4321.0,6.0,,
5,5,508280000,d...,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.844257,1.596270979844257e+18,15.0,,,15.0,6.0
5,5,508295000,d...,cpu_idle,0,idle,6,2020-08-01 08:36:19.844272,1.5962709798442719e+18,2822.0,2822.0,6.0,,
5,5,511117000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.847094,1.596270979847094e+18,50.0,,,50.0,6.0
5,5,511167000,d...,cpu_idle,0,idle,4,2020-08-01 08:36:19.847144,1.596270979847144e+18,914.0,914.0,4.0,,
5,5,512081000,d...,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.848058,1.5962709798480579e+18,11.0,,,11.0,4.0
5,5,512092000,d...,cpu_idle,0,idle,6,2020-08-01 08:36:19.848069,1.5962709798480689e+18,4181.0,4181.0,6.0,,
5,5,516273000,d...,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.852250,1.5962709798522499e+18,17.0,,,17.0,6.0
5,5,516290000,d...,cpu_idle,0,idle,6,2020-08-01 08:36:19.852267,1.596270979852267e+18,3981.0,3981.0,6.0,,
5,5,520271000,d...,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.856248,1.596270979856248e+18,18.0,,,18.0,6.0
5,5,520289000,d...,cpu_idle,0,idle,6,2020-08-01 08:36:19.856266,1.596270979856266e+18,3981.0,3981.0,6.0,,
5,5,524270000,d...,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.860247,1.596270979860247e+18,24.0,,,24.0,6.0
5,5,524294000,d...,cpu_idle,0,idle,8,2020-08-01 08:36:19.860271,1.5962709798602708e+18,41183.0,41183.0,8.0,,
5,5,565477000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.901454,1.596270979901454e+18,66.0,,,66.0,8.0
5,5,565543000,d...,cpu_idle,0,idle,8,2020-08-01 08:36:19.901520,1.59627097990152e+18,82428.0,82428.0,8.0,,
5,5,647971000,dN..,cpu_idle,0,idle,4294967295,2020-08-01 08:36:19.983948,1.596270979983948e+18,54.0,,,54.0,8.0
5,5,648025000,d...,cpu_idle,0,idle,8,2020-08-01 08:36:19.984002,1.596270979984002e+18,800.0,800.0,8.0,,
